AGE_CAT,HI_CAT,HS_CAT,RACE_CAT,SEX_CAT,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,CP1,CP2,CP3,CP4,CP5,CP6,CP7,CP8,CP9,CP10
2,1,1,1,2,0.36864,0.25612,0.15826,0.10763,0.04695,0.00623,0.0308,0.02538,.,.,0.36864,0.62475,0.78301,0.89064,0.93759,0.94382,0.97462,1,.,.
2,1,1,2,1,0.54694,0.20997,0.03917,0.12614,0.02936,0.01666,0.01968,0.01208,.,.,0.54694,0.75691,0.79608,0.92222,0.95158,0.96824,0.98792,1,.,.
2,1,1,2,2,0.37905,0.24306,0.03568,0.26457,0.02856,0.02161,0.01644,0.01103,.,.,0.37905,0.62211,0.65779,0.92236,0.95092,0.97253,0.98897,1,.,.
2,1,1,3,1,0.55575,0.16792,0.08746,0.08011,0.0136,0.01841,0.05279,0.02398,.,.,0.55575,0.72366,0.81112,0.89122,0.90482,0.92323,0.97602,1,.,.
2,1,1,3,2,0.414,0.20894,0.08563,0.1806,0.01422,0.02567,0.04739,0.02354,.,.,0.414,0.62295,0.70857,0.88918,0.90339,0.92906,0.97646,1,.,.
2,1,2,1,1,0.59781,0.10684,0.02699,0.183,0.02346,0.01695,0.03279,0.01216,.,.,0.59781,0.70465,0.73164,0.91464,0.9381,0.95505,0.98784,1,.,.
2,1,2,1,2,0.40236,0.12011,0.02388,0.37276,0.02216,0.02135,0.0266,0.01079,.,.,0.40236,0.52247,0.54635,0.9191,0.94127,0.96262,0.98921,1,.,.
2,1,2,2,1,0.54875,0.11748,0.00644,0.25981,0.00871,0.0295,0.02345,0.00586,.,.,0.54875,0.66623,0.67267,0.93248,0.94119,0.97069,0.99414,1,.,.
2,1,2,2,2,0.33396,0.11942,0.00515,0.47853,0.00744,0.0336,0.0172,0.0047,.,.,0.33396,0.45338,0.45853,0.93706,0.9445,0.9781,0.9953,1,.,.
2,1,2,3,1,0.78771,0.05679,0.01825,0.07918,0.00449,0.00879,0.03922,0.00557,.,.,0.78771,0.84449,0.86275,0.94193,0.94642,0.95521,0.99443,1,.,.
2,1,2,3,2,0.64379,0.07752,0.01961,0.19585,0.00515,0.01344,0.03863,0.006,.,.,0.64379,0.72131,0.74092,0.93677,0.94192,0.95536,0.994,1,.,.
2,1,3,1,1,0.73733,0.01891,0.01835,0.18818,0.01003,0.01476,0.0036,0.00885,.,.,0.73733,0.75624,0.77459,0.96277,0.9728,0.98756,0.99115,1,.,.
2,1,3,1,2,0.51916,0.02224,0.01698,0.401,0.00991,0.01945,0.00305,0.00821,.,.,0.51916,0.5414,0.55838,0.95938,0.96929,0.98874,0.99179,1,.,.
2,1,3,2,1,0.59905,0.0329,0.00645,0.29808,0.0056,0.03894,0.01131,0.00767,.,.,0.59905,0.63195,0.6384,0.93648,0.94208,0.98102,0.99233,1,.,.
2,1,3,2,2,0.35891,0.03293,0.00508,0.5405,0.00471,0.04366,0.00817,0.00605,.,.,0.35891,0.39184,0.39691,0.93741,0.94212,0.98578,0.99395,1,.,.
2,1,3,3,1,0.86987,0.01549,0.0144,0.08779,0,0.00582,0.00663,0,.,.,0.86987,0.88535,0.89976,0.98755,0.98755,0.99337,1,1,.,.
2,1,3,3,2,0.72534,0.02157,0.01578,0.22156,0,0.00908,0.00666,0,.,.,0.72534,0.74691,0.7627,0.98426,0.98426,0.99334,1,1,.,.
2,2,1,1,1,0.24366,0.52299,0.11142,0.00669,0.00629,0.00407,0.05691,0.04797,.,.,0.24366,0.76664,0.87806,0.88475,0.89104,0.89511,0.95203,1,.,.
2,2,1,1,2,0.17013,0.60996,0.10225,0.01413,0.00616,0.00532,0.0479,0.04415,.,.,0.17013,0.78009,0.88234,0.89647,0.90264,0.90795,0.95585,1,.,.
2,2,1,2,1,0.29683,0.49388,0.05604,0.02382,0.02226,0.00815,0.04204,0.05698,.,.,0.29683,0.79071,0.84674,0.87056,0.89283,0.90097,0.94302,1,.,.
2,2,1,2,2,0.20616,0.57296,0.05116,0.05007,0.0217,0.01059,0.03519,0.05217,.,.,0.20616,0.77913,0.83028,0.88035,0.90205,0.91264,0.94783,1,.,.
2,2,1,3,1,0.2745,0.5444,0.03941,0.01478,0.00853,0.00989,0.04542,0.06307,.,.,0.2745,0.8189,0.85831,0.87309,0.88163,0.89151,0.93693,1,.,.
2,2,1,3,2,0.18948,0.62768,0.03576,0.03087,0.00827,0.01277,0.03779,0.05738,.,.,0.18948,0.81717,0.85292,0.8838,0.89206,0.90483,0.94262,1,.,.
2,2,2,1,1,0.41274,0.32338,0.05345,0.05069,0.01503,0.0159,0.08616,0.04264,.,.,0.41274,0.73612,0.78957,0.84026,0.8553,0.8712,0.95736,1,.,.
2,2,2,1,2,0.29748,0.3893,0.05063,0.11058,0.01521,0.02144,0.07485,0.04051,.,.,0.29748,0.68679,0.73742,0.848,0.8632,0.88465,0.95949,1,.,.
2,2,2,2,1,0.39889,0.31441,0.02529,0.09265,0.02885,0.0142,0.07579,0.04991,.,.,0.39889,0.7133,0.73859,0.83125,0.8601,0.8743,0.95009,1,.,.
