sex,ageCat,raceCat,HISP,householdIncomeCat_NEW,MARRIED,increase
1,6,3,0,2,0,0
1,6,3,0,2,1,0
1,6,3,0,3,0,0
1,6,3,0,3,1,0
1,6,3,0,4,0,0
1,6,3,0,4,1,0
1,6,3,0,5,0,0
1,6,3,0,5,1,0
1,6,3,1,1,0,0
1,6,3,1,1,1,0
1,6,3,1,2,0,0
1,6,3,1,2,1,0
1,6,3,1,3,0,0
1,6,3,1,3,1,0
1,6,3,1,4,0,0
1,6,3,1,4,1,0
1,6,3,1,5,0,0
1,6,3,1,5,1,0
2,1,1,0,1,0,0.565278173
2,1,1,0,1,1,0.549373554
2,1,1,0,2,0,0.616408922
2,1,1,0,2,1,0.604312194
2,1,1,0,3,0,0.633776828
2,1,1,0,3,1,0.630066292
2,1,1,0,4,0,0.250643025
2,1,1,0,4,1,0.245331648
2,1,1,0,5,0,0.391870266
2,1,1,0,5,1,0.388405797
2,1,1,1,1,0,0.443762686
2,1,1,1,1,1,0.419986089
2,1,1,1,2,0,0.52630991
2,1,1,1,2,1,0.5059661
2,1,1,1,3,0,0.61254776
2,1,1,1,3,1,0.605863364
2,1,1,1,4,0,0.255832844
2,1,1,1,4,1,0.251263154
2,1,1,1,5,0,0.367844562
2,1,1,1,5,1,0.361357895
2,1,2,0,1,0,0.597003402
2,1,2,0,1,1,0.58429373
2,1,2,0,2,0,0.694440531
2,1,2,0,2,1,0.692666695
2,1,2,0,3,0,0.658633964
2,1,2,0,3,1,0.65863397
2,1,2,0,4,0,0.276334932
2,1,2,0,4,1,0.274311102
2,1,2,0,5,0,0.412117765
2,1,2,0,5,1,0.411363137
2,1,2,1,1,0,0.443762686
2,1,2,1,1,1,0.419986089
2,1,2,1,2,0,0.52630991
2,1,2,1,2,1,0.5059661
2,1,2,1,3,0,0.61254776
2,1,2,1,3,1,0.605863364
2,1,2,1,4,0,0.255832844
2,1,2,1,4,1,0.251263154
2,1,2,1,5,0,0.367844562
2,1,2,1,5,1,0.361357895
2,1,3,0,1,0,0.564499387
2,1,3,0,1,1,0.548543388
2,1,3,0,2,0,0.658688441
2,1,3,0,2,1,0.651800188
2,1,3,0,3,0,0.6327562
2,1,3,0,3,1,0.628927039
2,1,3,0,4,0,0.265175288
2,1,3,0,4,1,0.261472371
2,1,3,0,5,0,0.402942329
2,1,3,0,5,1,0.400949054
2,1,3,1,1,0,0.443762686
2,1,3,1,1,1,0.419986089
2,1,3,1,2,0,0.52630991
2,1,3,1,2,1,0.5059661
2,1,3,1,3,0,0.61254776
2,1,3,1,3,1,0.605863364
2,1,3,1,4,0,0.255832844
2,1,3,1,4,1,0.251263154
2,1,3,1,5,0,0.367844562
2,1,3,1,5,1,0.361357895
2,2,1,0,1,0,0.56980497
2,2,1,0,1,1,0.553513307
2,2,1,0,2,0,0.586459541
2,2,1,0,2,1,0.570398888
2,2,1,0,3,0,0.579214517
2,2,1,0,3,1,0.567332029
2,2,1,0,4,0,0.256278143
2,2,1,0,4,1,0.249525212
2,2,1,0,5,0,0.411583012
2,2,1,0,5,1,0.408574322
2,2,1,1,1,0,0.32637978
2,2,1,1,1,1,0.300991745
2,2,1,1,2,0,0.352807177
2,2,1,1,2,1,0.326719642
2,2,1,1,3,0,0.420327264
2,2,1,1,3,1,0.397108477
2,2,1,1,4,0,0.22870406
2,2,1,1,4,1,0.219663753
2,2,1,1,5,0,0.357572335
2,2,1,1,5,1,0.348124598
2,2,2,0,1,0,0.095123047
2,2,2,0,1,1,0.083713496
2,2,2,0,2,0,0.363671441
2,2,2,0,2,1,0.337530637
2,2,2,0,3,0,0.667793304
2,2,2,0,3,1,0.667793195
2,2,2,0,4,0,0.086191979
2,2,2,0,4,1,0.077374731
