zip,nearestEndoZip,nearest_distance
97123,97123,1.0
97124,97124,1.0
97125,97124,15.7071835385174
97127,97128,5.20572943035978
97128,97128,1.0
97130,97138,15.3062669619265
97131,97138,14.9397885332045
97132,97132,1.0
97133,97124,8.59010459351188
97134,97141,7.95780539072771
97135,97367,17.4730931578293
97136,97141,12.7920895431621
97137,97132,6.5672453090598
97138,97138,1.0
97140,97062,4.28127117436678
97141,97141,1.0
97143,97141,7.14908551866369
97145,97138,7.96947841369097
97146,97103,8.51589361145381
97147,97141,16.2894652400082
97148,97128,9.86919529866132
97149,97367,10.5525976888734
97201,97239,0.807625666859873
97202,97202,1.0
97203,97210,4.04554896058351
97204,97205,0.5141972019226
97205,97205,1.0
97206,97206,1.0
97207,97239,0.993831787135446
97208,97220,0.99485143435918
97209,97205,0.579644478219078
97210,97210,1.0
97211,97227,2.036413151629
97212,97232,1.07226390907442
97213,97213,1.0
97214,97214,1.0
97215,97213,1.57625556015692
97216,97216,1.0
97217,97227,2.18912843288483
97218,97213,1.65489169047772
97219,97219,1.0
97220,97220,1.0
97221,97239,1.84898345772678
97222,97222,1.0
97223,97223,1.0
97224,97223,2.25144917308883
97225,97225,1.0
97227,97227,1.0
97228,97030,5.74950355899117
97229,97229,1.0
97230,97233,1.82878137828964
97231,97229,7.63061706744787
97232,97232,1.0
97233,97233,1.0
97236,97086,2.44796148633031
97238,97030,5.74950355899117
97239,97239,1.0
97240,97030,5.74950355899117
97242,97030,5.74950355899117
97266,97206,1.84621181759473
97267,97222,2.3385988107148
97268,97045,19.725163786567
97269,97045,19.725163786567
97280,97030,5.74950355899117
97281,97124,8.16451744061901
97282,97030,5.74950355899117
97283,97030,5.74950355899117
97286,97030,5.74950355899117
97290,97030,5.74950355899117
97291,97124,8.16451744061901
97292,97030,5.74950355899117
97293,97030,5.74950355899117
97294,97030,5.74950355899117
97296,97030,5.74950355899117
97298,97124,8.16451744061901
97301,97301,1.0
97302,97302,1.0
97303,97304,3.10349616186929
97304,97304,1.0
97305,97301,4.93240252899278
97306,97306,1.0
97307,97381,15.8425450429418
97308,97381,15.8425450429418
97309,97381,15.8425450429418
97317,97301,5.08832294347463
97321,97321,1.0
97322,97322,1.0
97324,97370,17.1331360049631
97325,97383,5.58000859943996
97326,97370,10.1058934982191
97327,97327,1.0
97329,97355,26.1891881810102
97330,97330,1.0
97333,97330,5.58666090224773
97335,97355,7.63742979341453
