ZipCode,Name,ServiceArea,County,Desig,Frontier,Desig_NEW
97307,Keizer PO,Salem North,MARION,Urban,,Urban
97308,Salem,Salem South,MARION,Urban,,Urban
97309,Salem,Salem South,MARION,Urban,,Urban
97310,Salem,Salem South,MARION,Urban,,Urban
97317,Salem,Salem South,MARION,Urban,,Urban
97321,Albany,Albany,LINN,Urban,,Urban
97322,Albany,Albany,LINN,Urban,,Urban
97324,Alsea,Alsea,BENTON,Rural,,Rural
97325,Aumsville,Salem South,MARION,Rural,,Rural
97327,Brownsville,Brownsville,LINN,Rural,,Rural
97329,Cascadia,Sweet Home,LINN,Rural,,Rural
97330,Corvallis,Corvallis/Philomath,BENTON,Urban,,Urban
97331,Corvallis,Corvallis/Philomath,BENTON,Urban,,Urban
97333,Corvallis,Corvallis/Philomath,BENTON,Urban,,Urban
97335,Crabtree,Scio,LINN,Rural,,Rural
97336,Crawfordsville,Sweet Home,LINN,Rural,,Rural
97339,Corvallis,Corvallis/Philomath,BENTON,Urban,,Urban
97342,Detroit,Detroit,MARION,Rural,,Rural
97345,Foster,Sweet Home,LINN,Rural,,Rural
97346,Gates,Mill City/Gates,MARION,Rural,,Rural
97348,Halsey,Brownsville,LINN,Rural,,Rural
97350,Idanha,Detroit,MARION,Rural,,Rural
97352,Jefferson,Albany,MARION,Urban,,Urban
97355,Lebanon,Lebanon,LINN,Rural,,Rural
97358,Lyons,Stayton,LINN,Rural,,Rural
97359,Marion,Albany,MARION,Urban,,Urban
97360,Mill City,Mill City/Gates,LINN,Rural,,Rural
97362,Mount Angel,Silverton/Mt. Angel,MARION,Rural,,Rural
97370,Philomath,Corvallis/Philomath,BENTON,Urban,,Urban
97373,Saint Benedict,Silverton/Mt. Angel,MARION,Rural,,Rural
97374,Scio,Scio,LINN,Rural,,Rural
97375,Scotts Mills,Silverton/Mt. Angel,MARION,Rural,,Rural
97377,Shedd,Albany,LINN,Rural,,Rural
97381,Silverton,Silverton/Mt. Angel,MARION,Rural,,Rural
97383,Stayton,Stayton,MARION,Rural,,Rural
97384,Mehama,Mill City/Gates,MARION,Rural,,Rural
97385,Sublimity,Stayton,MARION,Rural,,Rural
97386,Sweet Home,Sweet Home,LINN,Rural,,Rural
97389,Tangent,Albany,LINN,Urban,,Urban
97392,Turner,Salem South,MARION,Urban,,Urban
97401,Eugene,Eugene/University,LANE,Urban,,Urban
97402,Eugene,Eugene West,LANE,Urban,,Urban
97403,Eugene,Eugene/University,LANE,Urban,,Urban
97404,Eugene,Eugene West,LANE,Urban,,Urban
97405,Eugene,Eugene South,LANE,Urban,,Urban
