sex,ageCat,raceCat,HISP,householdIncomeCat_NEW,MARRIED,increase
1,4,1,0,2,0,0.128343846
1,4,1,0,3,1,0.178556302
1,4,1,0,3,0,0.166709845
1,4,1,0,4,1,0.185513496
1,4,1,0,4,0,0.172105942
1,4,1,0,5,1,0.201933405
1,4,1,0,5,0,0.185017204
1,4,2,0,1,1,0.344344554
1,4,2,0,1,0,0.310866629
1,4,2,0,2,1,0.368752728
1,4,2,0,2,0,0.332384326
1,4,2,0,3,1,0.431383609
1,4,2,0,3,0,0.409804874
1,4,2,0,4,1,0.441801369
1,4,2,0,4,0,0.416637105
1,4,2,0,5,1,0.468413978
1,4,2,0,5,0,0.426812799
1,4,3,0,1,1,0.218371534
1,4,3,0,1,0,0.195103114
1,4,3,0,2,1,0.219679518
1,4,3,0,2,0,0.191738909
1,4,3,0,3,1,0.274265645
1,4,3,0,3,0,0.256007678
1,4,3,0,4,1,0.282407107
1,4,3,0,4,0,0.260405111
1,4,3,0,5,1,0.30149787
1,4,3,0,5,0,0.24937458
1,4,1,1,1,1,0
1,4,1,1,1,0,0
1,4,1,1,2,1,0
1,4,1,1,2,0,0
1,4,1,1,3,1,0
1,4,1,1,3,0,0
1,4,1,1,4,1,0
1,4,1,1,4,0,0
1,4,1,1,5,1,0
1,4,1,1,5,0,0
1,4,2,1,1,1,0
1,4,2,1,1,0,0
1,4,2,1,2,1,0
1,4,2,1,2,0,0
1,4,2,1,3,1,0
1,4,2,1,3,0,0
1,4,2,1,4,1,0
1,4,2,1,4,0,0
1,4,2,1,5,1,0
1,4,2,1,5,0,0
1,4,3,1,1,1,0
1,4,3,1,1,0,0
1,4,3,1,2,1,0
1,4,3,1,2,0,0
1,4,3,1,3,1,0
1,4,3,1,3,0,0
1,4,3,1,4,1,0
1,4,3,1,4,0,0
1,4,3,1,5,1,0
1,4,3,1,5,0,0
1,5,1,0,1,1,0.15145347
1,5,1,0,1,0,0.13746874
1,5,1,0,2,1,0.163088422
1,5,1,0,2,0,0.148307005
1,5,1,0,3,1,0.187610463
1,5,1,0,3,0,0.178973255
1,5,1,0,4,1,0.192517168
1,5,1,0,4,0,0.182967779
1,5,1,0,5,1,0.203520352
1,5,1,0,5,0,0.192147325
1,5,2,0,1,1,0.391770011
1,5,2,0,1,0,0.366134989
1,5,2,0,2,1,0.409337895
1,5,2,0,2,0,0.382794845
1,5,2,0,3,1,0.450871271
1,5,2,0,3,0,0.437151546
1,5,2,0,4,1,0.457351747
1,5,2,0,4,0,0.441562084
1,5,2,0,5,1,0.473076923
1,5,2,0,5,0,0.448031365
1,5,3,0,1,1,0.261924827
1,5,3,0,1,0,0.245559769
1,5,3,0,2,1,0.262806807
1,5,3,0,2,0,0.243019282
1,5,3,0,3,1,0.295768876
1,5,3,0,3,0,0.285565816
1,5,3,0,4,1,0.300089231
1,5,3,0,4,0,0.287965726
1,5,3,0,5,1,0.309974569
1,5,3,0,5,0,0.281610579
1,5,1,1,1,1,0
1,5,1,1,1,0,0
1,5,1,1,2,1,0
1,5,1,1,2,0,0
1,5,1,1,3,1,0
1,5,1,1,3,0,0
1,5,1,1,4,1,0
1,5,1,1,4,0,0
1,5,1,1,5,1,0
1,5,1,1,5,0,0
1,5,2,1,1,1,0
1,5,2,1,1,0,0
1,5,2,1,2,1,0
1,5,2,1,2,0,0
1,5,2,1,3,1,0
1,5,2,1,3,0,0
1,5,2,1,4,1,0
1,5,2,1,4,0,0
1,5,2,1,5,1,0
1,5,2,1,5,0,0
1,5,3,1,1,1,0
1,5,3,1,1,0,0
1,5,3,1,2,1,0
1,5,3,1,2,0,0
1,5,3,1,3,1,0
1,5,3,1,3,0,0
1,5,3,1,4,1,0
1,5,3,1,4,0,0
1,5,3,1,5,1,0
1,5,3,1,5,0,0
1,6,1,0,1,1,0.204741379
1,6,1,0,1,0,0.203345531
1,6,1,0,2,1,0.205078125
1,6,1,0,2,0,0.204
1,6,1,0,3,1,0.204603581
1,6,1,0,3,0,0.205387205
1,6,1,0,4,1,0.204946996
1,6,1,0,4,0,0.204819277
1,6,1,0,5,1,0.210526316
1,6,1,0,5,0,0.206896552
1,6,2,0,1,1,0.469327421
1,6,2,0,1,0,0.465688937
1,6,2,0,2,1,0.47195666
1,6,2,0,2,0,0.468159859
1,6,2,0,3,1,0.476510067
1,6,2,0,3,0,0.475318913
1,6,2,0,4,1,0.477595628
1,6,2,0,4,0,0.475685786
1,6,2,0,5,1,0.478927203
1,6,2,0,5,0,0.476082005
1,6,3,0,1,1,0.309329829
1,6,3,0,1,0,0.306115783
1,6,3,0,2,1,0.309236948
1,6,3,0,2,0,0.305771365
1,6,3,0,3,1,0.314159292
1,6,3,0,3,0,0.313170732
1,6,3,0,4,1,0.315298507
1,6,3,0,4,0,0.313284699
1,6,3,0,5,1,0.316810345
1,6,3,0,5,0,0.312392427
1,6,1,1,1,1,0
1,6,1,1,1,0,0
1,6,1,1,2,1,0
1,6,1,1,2,0,0
1,6,1,1,3,1,0
1,6,1,1,3,0,0
1,6,1,1,4,1,0
1,6,1,1,4,0,0
1,6,1,1,5,1,0
1,6,1,1,5,0,0
1,6,2,1,1,1,0
1,6,2,1,1,0,0
1,6,2,1,2,1,0
1,6,2,1,2,0,0
1,6,2,1,3,1,0
1,6,2,1,3,0,0
1,6,2,1,4,1,0
1,6,2,1,4,0,0
1,6,2,1,5,1,0
1,6,2,1,5,0,0
1,6,3,1,1,1,0
1,6,3,1,1,0,0
1,6,3,1,2,1,0
1,6,3,1,2,0,0
1,6,3,1,3,1,0
1,6,3,1,3,0,0
1,6,3,1,4,1,0
1,6,3,1,4,0,0
1,6,3,1,5,1,0
1,6,3,1,5,0,0
2,1,1,0,1,1,0.136128705
2,1,1,0,1,0,0.155002031
2,1,1,0,2,1,0.143852031
2,1,1,0,2,0,0.159012021
2,1,1,0,3,1,0.16726477
2,1,1,0,3,0,0.177070725
2,1,1,0,4,1,0.192869311
2,1,1,0,4,0,0.195182482
2,1,1,0,5,1,0.202879581
2,1,1,0,5,0,0.197839682
2,1,2,0,1,1,0.349612793
2,1,2,0,1,0,0.387060951
2,1,2,0,2,1,0.361283587
2,1,2,0,2,0,0.39170064
2,1,2,0,3,1,0.408926441
2,1,2,0,3,0,0.427292245
2,1,2,0,4,1,0.454507729
2,1,2,0,4,0,0.458845438
2,1,2,0,5,1,0.47006067
2,1,2,0,5,0,0.457466698
2,1,3,0,1,1,0.219097698
2,1,3,0,1,0,0.246345152
2,1,3,0,2,1,0.210705322
2,1,3,0,2,0,0.235639165
2,1,3,0,3,1,0.253031882
